25632439;41.1495;-8.60182;-0.1501301;0.7181942
25632440;41.15014;-8.601207;-0.1501194;0.7182053
25632444;41.15054;-8.600733;-0.1501111;0.7182124
25632445;41.15228;-8.60487;-0.1501833;0.7182428
25632446;41.15363;-8.604746;-0.1501811;0.7182663
25632447;41.15482;-8.604693;-0.1501802;0.7182871
25632448;41.15469;-8.603827;-0.1501651;0.7182849
25632449;41.15457;-8.603006;-0.1501508;0.7182827
25632450;41.15509;-8.605544;-0.1501951;0.7182919
25632451;41.15482;-8.60576;-0.1501988;0.7182871
25632452;41.15441;-8.605925;-0.1502017;0.71828
25632453;41.15393;-8.606191;-0.1502064;0.7182717
25632454;41.15355;-8.60621;-0.1502067;0.7182649
25632463;41.15561;-8.602585;-0.1501434;0.7183009
25632466;41.15329;-8.599692;-0.1500929;0.7182604
25632467;41.15382;-8.596214;-0.1500322;0.7182697
25632521;41.15453;-8.599478;-0.1500892;0.718282
111479498;41.1436;-8.62163;-0.1504758;0.7180912
111479500;41.14343;-8.621334;-0.1504707;0.7180884
111479501;41.14316;-8.620948;-0.1504639;0.7180836
111479502;41.14257;-8.620356;-0.1504536;0.7180734
111479503;41.14239;-8.620086;-0.1504489;0.7180702
111479504;41.14158;-8.618849;-0.1504273;0.7180561
111479505;41.1415;-8.618714;-0.1504249;0.7180546
111479506;41.14054;-8.616597;-0.150388;0.7180378
111479507;41.1405;-8.616468;-0.1503857;0.7180372
111479508;41.14048;-8.616322;-0.1503832;0.7180369
111479509;41.14049;-8.616189;-0.1503809;0.718037
111479510;41.14054;-8.616021;-0.1503779;0.7180378
111481288;41.14143;-8.613438;-0.1503329;0.7180533
111481561;41.14165;-8.61452;-0.1503517;0.7180572
111481563;41.14125;-8.614502;-0.1503514;0.7180504
111481848;41.14166;-8.615314;-0.1503656;0.7180574
111481849;41.14095;-8.615317;-0.1503657;0.718045
112686789;41.14125;-8.610816;-0.1502871;0.7180502
112686793;41.14066;-8.609663;-0.150267;0.71804
112686794;41.14083;-8.609519;-0.1502645;0.718043
112688566;41.1418;-8.605206;-0.1501892;0.7180599
112688570;41.1419;-8.602747;-0.1501463;0.7180616
112688573;41.14203;-8.601671;-0.1501275;0.7180639
112688575;41.14203;-8.600853;-0.1501132;0.7180639
112688576;41.14199;-8.60048;-0.1501067;0.7180631
112688578;41.14184;-8.599618;-0.1500916;0.7180606
112688580;41.14165;-8.599053;-0.1500818;0.7180573
